name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age,brand,model_family,km_per_year,name_frequency
Mahindra Bolero Power Plus SLX,2018,790000,40890,Diesel,Dealer,Manual,First Owner,2,Mahindra,Mahindra Bolero,20445.0,11.0
Honda Brio S MT,2015,350000,34823,Petrol,Dealer,Manual,Second Owner,5,Honda,Honda Brio,6964.6,6.0
Toyota Innova Crysta 2.8 ZX AT BSIV,2017,1700000,75000,Diesel,Individual,Automatic,First Owner,3,Toyota,Toyota Innova,25000.0,2.0
Maruti Ciaz VDI SHVS,2017,750000,55545,Diesel,Dealer,Manual,First Owner,3,Maruti,Maruti Ciaz,18515.0,2.0
Honda Amaze EX i-Dtech,2014,409999,56541,Diesel,Dealer,Manual,First Owner,6,Honda,Honda Amaze,9423.5,4.0
Hyundai EON Magna Plus,2016,220000,43700,Petrol,Individual,Manual,First Owner,4,Hyundai,Hyundai EON,10925.0,17.0
Tata Indica GLS BS IV,2009,68000,120000,Petrol,Individual,Manual,Second Owner,11,Tata,Tata Indica,10909.09090909091,14.0
Hyundai EON Era Plus,2017,290000,20000,Petrol,Individual,Manual,First Owner,3,Hyundai,Hyundai EON,6666.666666666667,28.0
Honda City i DTec SV,2014,600000,27483,Diesel,Dealer,Manual,First Owner,6,Honda,Honda City,4580.5,2.0
Maruti Swift LXI,2019,470000,8000,Petrol,Individual,Manual,First Owner,1,Maruti,Maruti Swift,8000.0,2.0
Hyundai i10 Sportz 1.2,2008,150000,30000,Petrol,Individual,Manual,First Owner,12,Hyundai,Hyundai i10,2500.0,7.0
Maruti Alto 800 LXI,2014,180000,56207,Petrol,Dealer,Manual,Second Owner,6,Maruti,Maruti Alto,9367.833333333334,48.0
Maruti Zen LXI,2006,80000,70000,Petrol,Individual,Manual,First Owner,14,Maruti,Maruti Zen,5000.0,6.0
Honda WR-V i-VTEC VX,2018,875000,1440,Petrol,Individual,Manual,First Owner,2,Honda,Honda WR-V,720.0,3.0
Maruti Alto 800 LXI,2019,300000,50000,Petrol,Individual,Manual,First Owner,1,Maruti,Maruti Alto,50000.0,48.0
Toyota Fortuner 2.8 2WD AT BSIV,2017,2800000,20000,Diesel,Individual,Automatic,First Owner,3,Toyota,Toyota Fortuner,6666.666666666667,3.0
Toyota Innova Crysta 2.4 ZX MT,2017,1330000,91195,Diesel,Dealer,Manual,First Owner,3,Toyota,Toyota Innova,30398.333333333332,1.0
Volkswagen Polo 1.5 TDI Trendline,2011,220000,63657,Diesel,Dealer,Manual,First Owner,9,Volkswagen,Volkswagen Polo,7073.0,2.0
Mahindra Verito Vibe 1.5 dCi D4,2013,250000,60000,Diesel,Individual,Manual,First Owner,7,Mahindra,Mahindra Verito,8571.42857142857,1.0
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,919999,75000,Diesel,Dealer,Manual,First Owner,4,Toyota,Toyota Innova,18750.0,10.0
Volkswagen Vento Magnific 1.6 Highline,2013,380000,97248,Petrol,Dealer,Manual,First Owner,7,Volkswagen,Volkswagen Vento,13892.57142857143,1.0
Maruti Swift VDI,2012,450000,46000,Diesel,Individual,Manual,First Owner,8,Maruti,Maruti Swift,5750.0,23.0
Hyundai Verna 1.6 VTVT AT S Option,2016,770000,10000,Petrol,Individual,Automatic,First Owner,4,Hyundai,Hyundai Verna,2500.0,2.0
Maruti Swift Dzire LDI,2018,550000,80000,Diesel,Individual,Manual,First Owner,2,Maruti,Maruti Swift,40000.0,8.0
Tata New Safari DICOR 2.2 GX 4x2,2011,320000,100000,Diesel,Individual,Manual,Second Owner,9,Tata,Tata New,11111.111111111111,1.0
Maruti SX4 Vxi BSIV,2013,400000,35000,Petrol,Individual,Manual,First Owner,7,Maruti,Maruti SX4,5000.0,4.0
Maruti Celerio VXI AT,2017,450000,50000,Petrol,Individual,Automatic,First Owner,3,Maruti,Maruti Celerio,16666.666666666668,3.0
Maruti SX4 ZDI,2011,220000,90000,Diesel,Individual,Manual,Third Owner,9,Maruti,Maruti SX4,10000.0,3.0
Mahindra XUV500 W8 2WD,2012,400000,150000,Diesel,Individual,Manual,Second Owner,8,Mahindra,Mahindra XUV500,18750.0,16.0
Hyundai Verna 1.6 SX VTVT (O),2013,530000,89000,Petrol,Individual,Manual,Second Owner,7,Hyundai,Hyundai Verna,12714.285714285714,3.0
Maruti Swift Dzire VDI,2014,390000,60000,Diesel,Individual,Manual,Second Owner,6,Maruti,Maruti Swift,10000.0,54.0
Fiat Grande Punto 1.3 Dynamic (Diesel),2012,185000,100000,Diesel,Individual,Manual,Second Owner,8,Fiat,Fiat Grande,12500.0,2.0
Maruti SX4 Vxi BSIV,2012,300000,100000,Petrol,Individual,Manual,Second Owner,8,Maruti,Maruti SX4,12500.0,4.0
Maruti Swift VDI BSIV,2014,575000,90000,Diesel,Individual,Manual,Second Owner,6,Maruti,Maruti Swift,15000.0,28.0
Maruti Wagon R Stingray VXI,2014,300000,75000,Petrol,Individual,Manual,First Owner,6,Maruti,Maruti Wagon,12500.0,4.0
Toyota Etios Liva 1.4 VD,2017,425000,36000,Diesel,Dealer,Manual,First Owner,3,Toyota,Toyota Etios,12000.0,1.0
Hyundai Xcent 1.2 Kappa SX,2016,350000,12000,Petrol,Individual,Manual,First Owner,4,Hyundai,Hyundai Xcent,3000.0,2.0
Honda Amaze VX O iDTEC,2017,550000,12997,Diesel,Dealer,Manual,First Owner,3,Honda,Honda Amaze,4332.333333333333,1.0
Maruti Ciaz 1.4 AT Zeta,2017,500000,40000,Petrol,Individual,Automatic,First Owner,3,Maruti,Maruti Ciaz,13333.333333333334,2.0
Mahindra Scorpio S4 4WD,2015,600000,60000,Diesel,Individual,Manual,First Owner,5,Mahindra,Mahindra Scorpio,12000.0,2.0
Mahindra Quanto C8,2013,300000,25000,Diesel,Individual,Manual,Second Owner,7,Mahindra,Mahindra Quanto,3571.4285714285716,4.0
Hyundai Verna CRDi 1.6 SX Option,2018,1150000,26430,Diesel,Dealer,Manual,First Owner,2,Hyundai,Hyundai Verna,13215.0,5.0
Maruti Swift 1.3 VXI ABS,2015,475000,24600,Petrol,Dealer,Manual,First Owner,5,Maruti,Maruti Swift,4920.0,2.0
Maruti Wagon R LXI,2011,260000,28481,Petrol,Dealer,Manual,First Owner,9,Maruti,Maruti Wagon,3164.5555555555557,15.0
Ford Ecosport 1.0 Ecoboost Titanium Optional,2013,350000,100000,Petrol,Individual,Manual,First Owner,7,Ford,Ford Ecosport,14285.714285714286,2.0
Mahindra XUV500 W8 2WD,2013,750000,41988,Diesel,Dealer,Manual,First Owner,7,Mahindra,Mahindra XUV500,5998.285714285715,16.0
Maruti Wagon R LXI,2009,180000,30375,Petrol,Dealer,Manual,First Owner,11,Maruti,Maruti Wagon,2761.3636363636365,15.0
Renault KWID Climber 1.0 AMT BSIV,2017,350000,7658,Petrol,Dealer,Automatic,First Owner,3,Renault,Renault KWID,2552.6666666666665,1.0
Maruti Swift Dzire VDI,2017,611000,34400,Diesel,Dealer,Manual,First Owner,3,Maruti,Maruti Swift,11466.666666666666,54.0
Renault KWID RXL BSIV,2017,325000,18500,Petrol,Dealer,Manual,First Owner,3,Renault,Renault KWID,6166.666666666667,1.0
Hyundai EON 1.0 Era Plus,2012,225000,48000,Petrol,Dealer,Manual,First Owner,8,Hyundai,Hyundai EON,6000.0,5.0
Maruti Wagon R AMT VXI,2014,300000,28942,Petrol,Dealer,Automatic,First Owner,6,Maruti,Maruti Wagon,4823.666666666667,2.0
Mahindra Bolero Power Plus SLX,2017,400000,50000,Diesel,Individual,Manual,Second Owner,3,Mahindra,Mahindra Bolero,16666.666666666668,11.0
Mahindra XUV500 W8 2WD,2012,711000,53600,Diesel,Dealer,Manual,First Owner,8,Mahindra,Mahindra XUV500,6700.0,16.0
Toyota Innova 2.5 G (Diesel) 8 Seater,2015,851000,53652,Diesel,Dealer,Manual,First Owner,5,Toyota,Toyota Innova,10730.4,6.0
Maruti Ertiga VXI,2014,500000,25000,Petrol,Individual,Manual,First Owner,6,Maruti,Maruti Ertiga,4166.666666666667,4.0
Toyota Innova 2.5 G4 Diesel 8-seater,2007,250000,80000,Diesel,Individual,Manual,Second Owner,13,Toyota,Toyota Innova,6153.846153846154,1.0
Maruti Alto 800 VXI,2017,150000,50000,Petrol,Individual,Manual,First Owner,3,Maruti,Maruti Alto,16666.666666666668,13.0
Mahindra Scorpio 1.99 S10,2016,610000,15000,Diesel,Individual,Manual,Second Owner,4,Mahindra,Mahindra Scorpio,3750.0,6.0
Mahindra KUV 100 G80 K2,2018,450000,5000,Petrol,Individual,Manual,First Owner,2,Mahindra,Mahindra KUV,2500.0,2.0
Hyundai i20 1.4 Asta Option,2017,744000,106000,Diesel,Individual,Manual,First Owner,3,Hyundai,Hyundai i20,35333.333333333336,3.0
Chevrolet Spark 1.0,2008,120000,100000,Petrol,Individual,Manual,Third Owner,12,Chevrolet,Chevrolet Spark,8333.333333333334,4.0
Renault KWID RXL,2016,220000,60000,Petrol,Individual,Manual,Third Owner,4,Renault,Renault KWID,15000.0,6.0
Maruti Ertiga ZDI,2012,480000,120000,Diesel,Individual,Manual,Fourth & Above Owner,8,Maruti,Maruti Ertiga,15000.0,5.0
Maruti Celerio ZXI Optional AMT BSIV,2017,370000,82000,Petrol,Individual,Automatic,First Owner,3,Maruti,Maruti Celerio,27333.333333333332,1.0
Fiat Palio D 1.9 EL PS,2003,55000,35000,Diesel,Individual,Manual,Second Owner,17,Fiat,Fiat Palio,2058.823529411765,1.0
Hyundai EON Magna Plus,2013,125000,205000,Petrol,Individual,Manual,First Owner,7,Hyundai,Hyundai EON,29285.714285714286,17.0
Hyundai Verna 1.6 CRDI,2011,260000,125000,Diesel,Individual,Manual,Third Owner,9,Hyundai,Hyundai Verna,13888.888888888889,4.0
Fiat Linea Classic 1.3 Multijet,2015,350000,130000,Diesel,Individual,Manual,First Owner,5,Fiat,Fiat Linea,26000.0,1.0
Maruti Alto 800 CNG LXI,2012,170000,97000,CNG,Individual,Manual,Second Owner,8,Maruti,Maruti Alto,12125.0,1.0
Hyundai Grand i10 Sportz,2015,350000,90000,Petrol,Individual,Manual,Second Owner,5,Hyundai,Hyundai Grand,18000.0,11.0
Maruti Swift Dzire VXi,2009,250000,60000,Petrol,Individual,Manual,Third Owner,11,Maruti,Maruti Swift,5454.545454545455,6.0
Tata Indigo CR4,2013,170000,60000,Diesel,Individual,Manual,First Owner,7,Tata,Tata Indigo,8571.42857142857,9.0
Mahindra Scorpio S11 BSIV,2018,1300000,35000,Diesel,Individual,Manual,First Owner,2,Mahindra,Mahindra Scorpio,17500.0,4.0
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,550000,25000,Petrol,Individual,Manual,First Owner,1,Hyundai,Hyundai Grand,25000.0,5.0
Honda Brio 1.2 S MT,2017,400000,15000,Petrol,Individual,Manual,First Owner,3,Honda,Honda Brio,5000.0,4.0
Tata Nano Lx,2011,120000,20000,Petrol,Individual,Manual,First Owner,9,Tata,Tata Nano,2222.222222222222,4.0
Ford Figo Petrol Titanium,2010,275000,70000,Petrol,Individual,Manual,First Owner,10,Ford,Ford Figo,7000.0,4.0
Tata Zest Revotron 1.2T XE,2016,285000,90000,Petrol,Individual,Manual,First Owner,4,Tata,Tata Zest,22500.0,4.0
Hyundai Creta 1.4 CRDi Base,2016,900000,80000,Diesel,Individual,Manual,First Owner,4,Hyundai,Hyundai Creta,20000.0,2.0
Mercedes-Benz M-Class ML 350 CDI,2014,2500000,79500,Diesel,Individual,Automatic,Second Owner,6,Mercedes-Benz,Mercedes-Benz M-Class,13250.0,1.0
Hyundai Verna 1.6 SX CRDi (O),2013,620000,70000,Diesel,Individual,Manual,Second Owner,7,Hyundai,Hyundai Verna,10000.0,14.0
Toyota Innova Crysta 2.4 GX MT 8S BSIV,2018,1700000,5000,Diesel,Individual,Manual,First Owner,2,Toyota,Toyota Innova,2500.0,1.0
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2018,650000,15000,Petrol,Individual,Manual,First Owner,2,Ford,Ford Figo,7500.0,3.0
Maruti Ertiga VXI,2014,500000,35000,Petrol,Individual,Manual,First Owner,6,Maruti,Maruti Ertiga,5833.333333333333,4.0
Tata New Safari DICOR 2.2 EX 4x4,2009,250000,120000,Diesel,Individual,Manual,Second Owner,11,Tata,Tata New,10909.09090909091,1.0
Mahindra Marazzo M4,2018,950000,15000,Diesel,Individual,Manual,Second Owner,2,Mahindra,Mahindra Marazzo,7500.0,1.0
Toyota Etios Cross 1.2L G,2015,320000,60000,Petrol,Individual,Manual,First Owner,5,Toyota,Toyota Etios,12000.0,2.0
Renault Duster 110PS Diesel RxZ,2013,450000,120000,Diesel,Individual,Manual,First Owner,7,Renault,Renault Duster,17142.85714285714,8.0
Mahindra KUV 100 mFALCON D75 K8 AW,2016,350000,90000,Diesel,Individual,Manual,First Owner,4,Mahindra,Mahindra KUV,22500.0,1.0
Maruti Swift Dzire VXI,2015,400000,90000,Petrol,Individual,Manual,First Owner,5,Maruti,Maruti Swift,18000.0,3.0
Hyundai i20 Asta 1.4 CRDi (Diesel),2009,250000,72000,Diesel,Individual,Manual,Second Owner,11,Hyundai,Hyundai i20,6545.454545454545,1.0
Toyota Innova 2.0 GX 8 STR BSIV,2011,550000,197000,Petrol,Individual,Manual,Second Owner,9,Toyota,Toyota Innova,21888.88888888889,1.0
Maruti Zen LXI,1999,85000,70000,Petrol,Individual,Manual,Second Owner,21,Maruti,Maruti Zen,3333.3333333333335,6.0
Hyundai Santro LP zipPlus,2001,52000,50000,Petrol,Individual,Manual,Third Owner,19,Hyundai,Hyundai Santro,2631.5789473684213,3.0
Tata Hexa XTA,2017,1200000,50000,Diesel,Individual,Automatic,First Owner,3,Tata,Tata Hexa,16666.666666666668,2.0
Hyundai Verna 1.6 SX VTVT AT,2011,450000,60000,Petrol,Individual,Automatic,Third Owner,9,Hyundai,Hyundai Verna,6666.666666666667,1.0
Maruti Swift Dzire VXI 1.2 BS IV,2018,615000,40000,Petrol,Individual,Manual,First Owner,2,Maruti,Maruti Swift,20000.0,1.0
Maruti SX4 ZDI Leather,2012,400000,60000,Diesel,Individual,Manual,Second Owner,8,Maruti,Maruti SX4,7500.0,1.0
Tata Nano LX,2013,60000,40000,Petrol,Individual,Manual,First Owner,7,Tata,Tata Nano,5714.285714285715,2.0
Maruti Ignis 1.2 Alpha BSIV,2017,500000,9161,Petrol,Individual,Manual,First Owner,3,Maruti,Maruti Ignis,3053.6666666666665,1.0
Honda Mobilio V i VTEC,2015,600000,45000,Petrol,Individual,Manual,First Owner,5,Honda,Honda Mobilio,9000.0,2.0
Hyundai Getz 1.3 GVS,2010,110000,110000,Petrol,Individual,Manual,First Owner,10,Hyundai,Hyundai Getz,11000.0,1.0
Hyundai Santro Xing GL Plus,2013,175000,80000,Petrol,Individual,Manual,First Owner,7,Hyundai,Hyundai Santro,11428.57142857143,4.0
Ford Fiesta Titanium 1.5 TDCi,2011,325000,100000,Diesel,Individual,Manual,Second Owner,9,Ford,Ford Fiesta,11111.111111111111,4.0
Maruti Swift Dzire LDI,2017,425000,90000,Diesel,Individual,Manual,First Owner,3,Maruti,Maruti Swift,30000.0,8.0
Hyundai Accent GLE CNG,2009,160000,70000,CNG,Individual,Manual,Third Owner,11,Hyundai,Hyundai Accent,6363.636363636364,2.0
Maruti Zen Estilo LXI BSIII,2007,100000,80000,Petrol,Individual,Manual,Third Owner,13,Maruti,Maruti Zen,6153.846153846154,4.0
Maruti Swift Dzire LDI,2014,390000,110000,Diesel,Individual,Manual,Second Owner,6,Maruti,Maruti Swift,18333.333333333332,8.0
Hyundai i20 1.2 Spotz,2017,400000,50000,Petrol,Individual,Manual,First Owner,3,Hyundai,Hyundai i20,16666.666666666668,5.0
Tata Tigor 1.2 Revotron XM,2018,509999,5000,Petrol,Individual,Manual,First Owner,2,Tata,Tata Tigor,2500.0,2.0
Hyundai i10 Magna 1.1,2008,150000,90000,Petrol,Individual,Manual,Third Owner,12,Hyundai,Hyundai i10,7500.0,4.0
Hyundai Santro Xing GLS,2009,110000,120000,Petrol,Individual,Manual,First Owner,11,Hyundai,Hyundai Santro,10909.09090909091,20.0
Nissan Sunny Diesel XV,2013,450000,80000,Diesel,Individual,Manual,First Owner,7,Nissan,Nissan Sunny,11428.57142857143,3.0
Hyundai i20 1.2 Spotz,2017,400000,38000,Petrol,Individual,Manual,Second Owner,3,Hyundai,Hyundai i20,12666.666666666666,5.0
Hyundai Santro Xing GLS,2009,140000,120000,Petrol,Individual,Manual,First Owner,11,Hyundai,Hyundai Santro,10909.09090909091,20.0
Tata Indigo CR4,2011,130000,90000,Diesel,Individual,Manual,First Owner,9,Tata,Tata Indigo,10000.0,9.0
Maruti Alto 800 LXI,2017,160000,50000,Petrol,Individual,Manual,First Owner,3,Maruti,Maruti Alto,16666.666666666668,48.0
Maruti Alto 800 LXI,2016,150000,60000,Petrol,Individual,Manual,First Owner,4,Maruti,Maruti Alto,15000.0,48.0
Mahindra XUV500 W8 2WD,2013,500000,100000,Diesel,Individual,Manual,Second Owner,7,Mahindra,Mahindra XUV500,14285.714285714286,16.0
Tata Nano Std,2011,40000,19000,Petrol,Individual,Manual,First Owner,9,Tata,Tata Nano,2111.1111111111113,1.0
Chevrolet Tavera LT L1 7 Seats BSIII,2006,140000,200000,Diesel,Individual,Manual,Third Owner,14,Chevrolet,Chevrolet Tavera,14285.714285714286,1.0
Mahindra Verito 1.5 D2 BSIV,2015,227000,70000,Diesel,Individual,Manual,Second Owner,5,Mahindra,Mahindra Verito,14000.0,1.0
Maruti Swift VDI,2011,285000,50000,Diesel,Individual,Manual,Second Owner,9,Maruti,Maruti Swift,5555.555555555556,23.0
Maruti Alto LX,2012,155000,19077,Petrol,Individual,Manual,Second Owner,8,Maruti,Maruti Alto,2384.625,30.0
Hyundai EON D Lite,2016,210000,30000,Petrol,Individual,Manual,First Owner,4,Hyundai,Hyundai EON,7500.0,3.0
Maruti Alto LXi,2009,140000,80000,Petrol,Individual,Manual,Second Owner,11,Maruti,Maruti Alto,7272.727272727273,42.0
Toyota Innova 2.5 GX (Diesel) 7 Seater,2015,940000,128000,Diesel,Individual,Manual,First Owner,5,Toyota,Toyota Innova,25600.0,2.0
Nissan Terrano XV Premium 110 PS,2013,750000,80000,Diesel,Individual,Manual,First Owner,7,Nissan,Nissan Terrano,11428.57142857143,2.0
Maruti Baleno Alpha 1.3,2016,610000,100000,Diesel,Individual,Manual,First Owner,4,Maruti,Maruti Baleno,25000.0,8.0
Nissan Sunny XV D Premium Leather,2015,450000,50000,Diesel,Individual,Manual,First Owner,5,Nissan,Nissan Sunny,10000.0,1.0
Toyota Etios Liva GD,2012,409999,56000,Diesel,Individual,Manual,First Owner,8,Toyota,Toyota Etios,7000.0,4.0
Hyundai EON 1.0 Era Plus,2018,100000,21302,Petrol,Individual,Manual,First Owner,2,Hyundai,Hyundai EON,10651.0,5.0
Renault KWID 1.0 RXT Optional,2018,300000,10500,Petrol,Individual,Manual,First Owner,2,Renault,Renault KWID,5250.0,14.0
Mahindra Bolero 2011-2019 SLX,2013,400000,107000,Diesel,Individual,Manual,First Owner,7,Mahindra,Mahindra Bolero,15285.714285714286,3.0
Hyundai i10 Sportz 1.2,2010,210000,60000,Petrol,Individual,Manual,Second Owner,10,Hyundai,Hyundai i10,6000.0,7.0
Hyundai Santro Xing XG eRLX Euro III,2006,90000,120000,Petrol,Individual,Manual,Second Owner,14,Hyundai,Hyundai Santro,8571.42857142857,3.0
Maruti Wagon R LXI BS IV,2010,222000,70000,Petrol,Individual,Manual,First Owner,10,Maruti,Maruti Wagon,7000.0,9.0
Maruti Alto 800 LXI,2015,240000,50000,Petrol,Individual,Manual,Second Owner,5,Maruti,Maruti Alto,10000.0,48.0
Toyota Etios Liva GD,2013,450000,70000,Diesel,Individual,Manual,Second Owner,7,Toyota,Toyota Etios,10000.0,4.0
Volkswagen Jetta 2.0L TDI Highline AT,2012,735000,55300,Diesel,Dealer,Automatic,First Owner,8,Volkswagen,Volkswagen Jetta,6912.5,1.0
Tata Indica Vista Quadrajet 90 VX,2012,285000,74300,Diesel,Dealer,Manual,First Owner,8,Tata,Tata Indica,9287.5,1.0
Honda City VX MT,2010,350000,48781,Petrol,Dealer,Manual,First Owner,10,Honda,Honda City,4878.1,1.0
Volkswagen Jetta 1.9 Highline TDI,2010,290000,87620,Diesel,Dealer,Automatic,First Owner,10,Volkswagen,Volkswagen Jetta,8762.0,2.0
Volkswagen Vento 1.5 TDI Highline Plus AT,2017,890000,40219,Diesel,Dealer,Automatic,First Owner,3,Volkswagen,Volkswagen Vento,13406.333333333334,1.0
Honda Jazz VX,2011,385000,11473,Petrol,Dealer,Manual,First Owner,9,Honda,Honda Jazz,1274.7777777777778,2.0
Maruti Eeco 5 Seater AC BSIV,2017,425000,8352,Petrol,Dealer,Manual,First Owner,3,Maruti,Maruti Eeco,2784.0,6.0
Maruti Wagon R VXI AMT1.2BSIV,2017,525000,9745,Petrol,Dealer,Automatic,First Owner,3,Maruti,Maruti Wagon,3248.3333333333335,1.0
Hyundai Grand i10 Asta,2017,550000,9748,Petrol,Dealer,Manual,First Owner,3,Hyundai,Hyundai Grand,3249.3333333333335,4.0
Volkswagen Polo 1.0 MPI Trendline,2012,271000,49000,Petrol,Dealer,Manual,First Owner,8,Volkswagen,Volkswagen Polo,6125.0,1.0
Hyundai Creta 1.6 CRDi SX Option,2018,1490000,20694,Diesel,Dealer,Manual,First Owner,2,Hyundai,Hyundai Creta,10347.0,5.0
Hyundai Grand i10 Asta Option,2015,490000,31080,Petrol,Dealer,Manual,First Owner,5,Hyundai,Hyundai Grand,6216.0,4.0
Hyundai EON Era Plus,2014,260000,37605,Petrol,Dealer,Manual,First Owner,6,Hyundai,Hyundai EON,6267.5,28.0
Hyundai Xcent 1.1 CRDi SX Option,2014,455000,55850,Diesel,Dealer,Manual,First Owner,6,Hyundai,Hyundai Xcent,9308.333333333334,2.0
Tata Nano Lx BSIV,2010,75000,58850,Petrol,Dealer,Manual,First Owner,10,Tata,Tata Nano,5885.0,4.0
Toyota Etios Cross 1.2L G,2015,421000,23839,Petrol,Dealer,Manual,First Owner,5,Toyota,Toyota Etios,4767.8,2.0
Maruti Swift DDiS LDI,2016,550000,54000,Diesel,Dealer,Manual,First Owner,4,Maruti,Maruti Swift,13500.0,1.0
Hyundai i10 Sportz 1.2 AT,2013,330000,38000,Petrol,Dealer,Automatic,First Owner,7,Hyundai,Hyundai i10,5428.571428571428,3.0
Volkswagen Vento 1.5 TDI Comfortline,2012,390000,45454,Diesel,Dealer,Manual,First Owner,8,Volkswagen,Volkswagen Vento,5681.75,1.0
Skoda Rapid 1.5 TDI AT Ambition,2015,599000,46957,Diesel,Dealer,Automatic,First Owner,5,Skoda,Skoda Rapid,9391.4,1.0
Hyundai Getz GLE,2007,110000,60000,Petrol,Individual,Manual,Fourth & Above Owner,13,Hyundai,Hyundai Getz,4615.384615384615,1.0
Renault KWID RXT Optional,2016,250000,25000,Petrol,Individual,Manual,First Owner,4,Renault,Renault KWID,6250.0,5.0
Mahindra Scorpio M2DI,2012,600000,110000,Diesel,Individual,Manual,Fourth & Above Owner,8,Mahindra,Mahindra Scorpio,13750.0,7.0
Ford Endeavour XLT TDCi 4X2,2008,280000,190000,Diesel,Individual,Manual,Second Owner,12,Ford,Ford Endeavour,15833.333333333334,1.0
Audi Q3 35 TDI Quattro Technology,2018,2700000,25000,Diesel,Individual,Automatic,First Owner,2,Audi,Audi Q3,12500.0,2.0
Mahindra Renault Logan 1.4 GLX Petrol,2008,80000,90000,Petrol,Individual,Manual,First Owner,12,Mahindra,Mahindra Renault,7500.0,2.0
Maruti Alto K10 VXI,2019,350000,5000,Petrol,Individual,Manual,First Owner,1,Maruti,Maruti Alto,5000.0,20.0
Maruti Swift VDI BSIV,2015,475000,60000,Diesel,Individual,Manual,First Owner,5,Maruti,Maruti Swift,12000.0,28.0
Audi A5 Sportback,2020,4700000,1500,Diesel,Individual,Automatic,First Owner,0,Audi,Audi A5,1500.0,1.0
Maruti Swift Dzire VDI,2018,500000,50000,Diesel,Individual,Manual,First Owner,2,Maruti,Maruti Swift,25000.0,54.0
Chevrolet Sail Hatchback 1.3 TCDi LT ABS,2014,250000,120000,Diesel,Individual,Manual,First Owner,6,Chevrolet,Chevrolet Sail,20000.0,1.0
Hyundai Accent CRDi,2005,100000,120000,Diesel,Individual,Manual,Second Owner,15,Hyundai,Hyundai Accent,8000.0,4.0
Maruti Alto K10 VXI Airbag,2019,350000,5000,Petrol,Individual,Manual,First Owner,1,Maruti,Maruti Alto,5000.0,4.0
BMW 7 Series Signature 730Ld,2014,4000000,47000,Diesel,Individual,Automatic,First Owner,6,BMW,BMW 7,7833.333333333333,1.0
Toyota Camry 2.5 Hybrid,2017,1900000,20000,Petrol,Individual,Automatic,First Owner,3,Toyota,Toyota Camry,6666.666666666667,1.0
Hyundai Santro Xing XG,2005,95000,120000,Petrol,Individual,Manual,Second Owner,15,Hyundai,Hyundai Santro,8000.0,7.0
Hyundai Grand i10 CRDi Sportz,2015,409999,58000,Diesel,Individual,Manual,First Owner,5,Hyundai,Hyundai Grand,11600.0,6.0
Mahindra XUV500 W5 BSIV,2018,1050000,35000,Diesel,Individual,Manual,First Owner,2,Mahindra,Mahindra XUV500,17500.0,1.0
Maruti Alto K10 VXI,2017,320000,30000,Petrol,Individual,Manual,First Owner,3,Maruti,Maruti Alto,10000.0,20.0
Mahindra XUV300 W8 Option Diesel BSIV,2019,1000000,10000,Diesel,Individual,Manual,First Owner,1,Mahindra,Mahindra XUV300,10000.0,1.0
Toyota Innova Crysta 2.4 VX MT BSIV,2017,1770000,25000,Diesel,Individual,Manual,First Owner,3,Toyota,Toyota Innova,8333.333333333334,3.0
Mahindra Thar CRDe,2018,950000,20000,Diesel,Individual,Manual,First Owner,2,Mahindra,Mahindra Thar,10000.0,2.0
Maruti Swift Dzire ZDI,2018,750000,50000,Diesel,Individual,Manual,First Owner,2,Maruti,Maruti Swift,25000.0,11.0
Hyundai EON Magna Plus,2014,220000,42000,Petrol,Individual,Manual,First Owner,6,Hyundai,Hyundai EON,7000.0,17.0
Tata Hexa XM,2017,1000000,50000,Diesel,Individual,Manual,First Owner,3,Tata,Tata Hexa,16666.666666666668,3.0
Honda Mobilio E i DTEC,2017,660000,116000,Diesel,Individual,Manual,First Owner,3,Honda,Honda Mobilio,38666.666666666664,1.0
Maruti Ertiga ZDI,2015,716000,100000,Diesel,Individual,Manual,First Owner,5,Maruti,Maruti Ertiga,20000.0,5.0
Maruti Ciaz ZXi Plus,2015,675000,66000,Petrol,Individual,Manual,First Owner,5,Maruti,Maruti Ciaz,13200.0,2.0
Mahindra Scorpio LX,2010,385000,110000,Diesel,Individual,Manual,Third Owner,10,Mahindra,Mahindra Scorpio,11000.0,5.0
Fiat Grande Punto EVO 1.3 Dynamic,2014,325000,70000,Diesel,Individual,Manual,First Owner,6,Fiat,Fiat Grande,11666.666666666666,1.0
Hyundai Creta 1.6 CRDi SX Option,2015,950000,60000,Diesel,Individual,Manual,First Owner,5,Hyundai,Hyundai Creta,12000.0,5.0
Ford Endeavour Hurricane Limited Edition,2007,400000,110000,Diesel,Individual,Automatic,Fourth & Above Owner,13,Ford,Ford Endeavour,8461.538461538461,1.0
Tata Indica Vista TDI LS,2014,250000,25000,Diesel,Individual,Manual,First Owner,6,Tata,Tata Indica,4166.666666666667,7.0
Land Rover Discovery S 2.0 SD4,2018,4000000,68000,Petrol,Individual,Automatic,First Owner,2,Land,Land Rover,34000.0,1.0
Maruti Alto 800 LXI,2014,210000,20000,Petrol,Individual,Manual,First Owner,6,Maruti,Maruti Alto,3333.3333333333335,48.0
